Day,Relevant_Tweets,Irrelevant_Tweets,Total_Tweets
2019-01-01,1,1,2
2019-01-02,1,0,1
2019-01-03,1,2,3
2019-01-04,1,4,5
2019-01-05,1,3,4
2019-01-06,4,3,7
2019-01-07,7,1,8
2019-01-08,0,1,1
2019-01-09,5,0,5
2019-01-10,2,5,7
2019-01-11,0,3,3
2019-01-12,0,0,0
2019-01-13,2,6,8
2019-01-14,2,0,2
2019-01-15,0,0,0
2019-01-16,0,0,0
2019-01-17,1,1,2
2019-01-18,0,0,0
2019-01-19,0,0,0
2019-01-20,0,0,0
2019-01-21,0,1,1
2019-01-22,2,1,3
2019-01-23,1,3,4
2019-01-24,0,1,1
2019-01-25,1,3,4
2019-01-26,3,2,5
2019-01-27,1,1,2
2019-01-28,1,2,3
2019-01-29,0,0,0
2019-01-30,0,4,4
2019-01-31,2,3,5
2019-02-01,1,2,3
2019-02-02,2,1,3
2019-02-03,0,5,5
2019-02-04,0,0,0
2019-02-05,2,1,3
2019-02-06,1,1,2
2019-02-07,1,4,5
2019-02-08,3,3,6
2019-02-09,1,0,1
2019-02-10,0,1,1
2019-02-11,0,0,0
2019-02-12,1,0,1
2019-02-13,4,0,4
2019-02-14,1,2,3
2019-02-15,0,0,0
2019-02-16,1,2,3
2019-02-17,0,0,0
2019-02-18,0,1,1
2019-02-19,3,1,4
2019-02-20,0,0,0
2019-02-21,0,4,4
2019-02-22,1,2,3
2019-02-23,0,0,0
2019-02-24,0,0,0
2019-02-25,0,4,4
2019-02-26,1,1,2
2019-02-27,2,5,7
2019-02-28,4,4,8
2019-03-01,0,7,7
2019-03-02,1,7,8
2019-03-03,4,10,14
2019-03-04,0,2,2
2019-03-05,0,0,0
2019-03-06,2,1,3
2019-03-07,2,4,6
2019-03-08,0,3,3
2019-03-09,0,0,0
2019-03-10,0,0,0
2019-03-11,0,0,0
2019-03-12,2,1,3
2019-03-13,2,0,2
2019-03-14,2,1,3
2019-03-15,7,2,9
2019-03-16,2,0,2
2019-03-17,1,2,3
2019-03-18,0,1,1
2019-03-19,3,1,4
2019-03-20,2,1,3
2019-03-21,2,0,2
2019-03-22,1,0,1
2019-03-23,2,0,2
2019-03-24,4,0,4
2019-03-25,1,0,1
2019-03-26,6,0,6
2019-03-27,2,0,2
2019-03-28,1,0,1
2019-03-29,2,0,2
2019-03-30,5,7,12
2019-03-31,0,4,4
2019-04-01,1,0,1
2019-04-02,0,3,3
2019-04-03,1,2,3
2019-04-04,1,0,1
2019-04-05,2,3,5
2019-04-06,3,1,4
2019-04-07,3,2,5
2019-04-08,1,0,1
2019-04-09,1,2,3
2019-04-10,2,0,2
2019-04-11,0,5,5
2019-04-12,3,2,5
2019-04-13,6,0,6
2019-04-14,1,5,6
2019-04-15,1,2,3
2019-04-16,0,0,0
2019-04-17,1,0,1
2019-04-18,0,2,2
2019-04-19,0,14,14
2019-04-20,0,1,1
2019-04-21,1,0,1
2019-04-22,6,2,8
2019-04-23,13,0,13
2019-04-24,1,0,1
2019-04-25,6,0,6
2019-04-26,1,0,1
2019-04-27,0,0,0
2019-04-28,0,0,0
2019-04-29,1,8,9
2019-04-30,0,1,1
2019-05-01,3,0,3
2019-05-02,1,1,2
2019-05-03,0,0,0
2019-05-04,2,5,7
2019-05-05,0,2,2
2019-05-06,1,1,2
2019-05-07,2,0,2
2019-05-08,5,0,5
2019-05-09,4,1,5
2019-05-10,3,3,6
2019-05-11,1,4,5
2019-05-12,0,0,0
2019-05-13,0,3,3
2019-05-14,0,0,0
2019-05-15,0,7,7
2019-05-16,0,1,1
2019-05-17,1,2,3
2019-05-18,6,2,8
2019-05-19,0,0,0
2019-05-20,0,0,0
2019-05-21,1,0,1
2019-05-22,0,2,2
2019-05-23,3,5,8
2019-05-24,0,6,6
2019-05-25,0,4,4
2019-05-26,2,0,2
2019-05-27,1,0,1
2019-05-28,0,0,0
2019-05-29,1,0,1
2019-05-30,1,0,1
2019-05-31,8,3,11
2019-06-01,0,0,0
2019-06-02,1,1,2
2019-06-03,1,1,2
2019-06-04,0,0,0
2019-06-05,1,0,1
2019-06-06,0,1,1
2019-06-07,2,0,2
2019-06-08,0,0,0
2019-06-09,0,0,0
2019-06-10,1,1,2
2019-06-11,0,1,1
2019-06-12,3,4,7
2019-06-13,6,0,6
2019-06-14,1,1,2
2019-06-15,0,5,5
2019-06-16,1,1,2
2019-06-17,0,0,0
2019-06-18,3,2,5
2019-06-19,3,0,3
2019-06-20,1,3,4
2019-06-21,1,0,1
2019-06-22,2,2,4
2019-06-23,0,3,3
2019-06-24,0,7,7
2019-06-25,2,7,9
2019-06-26,0,0,0
2019-06-27,2,4,6
2019-06-28,1,1,2
2019-06-29,1,0,1
2019-06-30,1,0,1
2019-07-01,2,1,3
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
